403.588, -109.02, -3.6795,  一丈红
402.958, -109.146, -3.71095,  一丈红
179.605, -100.6, -28.5802,  青檬石
142.938, -96.4531, -27.9006,  青檬石
141.156, -123.384, -46.5841,  青檬石
106.285, -162.287, -51.1517,  一丈红
-17.5331, -233.951, -53.18,  一丈红
-32.0668, -316.764, -51.8278,  一丈红
-88.829, -361.199, -47.0774,  一丈红
-148.773, -696.611, -46.8631,  一丈红
-95.9, -775.759, -43.1409,  青檬石
-50.1146, -787.4, -40.0796,  青檬石
-26.1238, -820.79, -27.3397,  青檬石
-19.0865, -878.719, -18.6294,  青檬石
80.016, -889.092, -10.0043,  青檬石
89.7765, -859.563, -19.059,  青檬石
70.7205, -949.749, 4.44185,  青檬石
211.383, -722.952, 10.09,  青檬石
234.879, -678.522, 37.3869,  青檬石
-526.163, -232.727, -51.3475,  补一丈红
-586.025, -95.075, -47.1133,  一丈红
-671.138, -39.4532, -47.8037,  一丈红
-733.332, 9.66009, -53.9028,  一丈红
-756.31, 35.9415, -59.8748,  玉楼春开封南郊4
-748.609, 103.715, -60.7909,  一丈红
-844.86, 199.164, -59.3028,  玉楼春开封南郊3
-954.513, 168.741, -59.6196,  玉楼春开封南郊2
-959.756, 182.67, -59.57,  玉楼春开封南郊1
-1012.03, 230.966, -59.71,  玉楼春南门大街11
-1002.91, 265.518, -59.73,  玉楼春南门大街10
-996.561, 321.088, -59.73,  玉楼春南门大街8
-997.413, 338.202, -59.7701,  玉楼春南门大街9
-1101.33, 369.687, -58.8856,  玉楼春南门大街7
-1201.64, 369.964, -59.71,  玉楼春南门大街6
-1251.13, 299.563, -62.1006,  玉楼春南门大街5
-1267.72, 236.504, -63.8511,  玉楼春南门大街4
-1273.41, 187.76, -64.2194,  玉楼春南门大街2
-1275.42, 184.023, -64.2998,  玉楼春南门大街3
-1269.81, 184.098, -64.2294,  玉楼春南门大街1
-1326.89, 86.8952, -59.71,  玉楼春勾栏瓦肆13
-1384.26, 96.1485, -59.6929,  一丈红
-1382.73, 103.117, -59.3342,  一丈红
-1445.37, 110.308, -59.3833,  一丈红
-1457.2, 83.4624, -59.4276,  一丈红
-1460.62, 82.9487, -59.3616,  一丈红
-1545.29, 59.9507, -59.71,  玉楼春勾栏瓦肆2
-1548.61, 56.7866, -59.71,  玉楼春勾栏瓦肆1
-1569.28, 53.6962, -59.71,  玉楼春勾栏瓦肆3
-1583.55, 96.5702, -59.68,  枯茱萸
-1579.41, 101.181, -59.7007,  枯茱萸
-1578.22, 105.354, -59.5758,  枯茱萸
-1574.67, 109.028, -59.6008,  枯茱萸
-1480.03, -92.381, -62.664,  玉楼春勾栏瓦肆4
-1299.99, -85.5452, -62.68,  玉楼春勾栏瓦肆10
-1268.2, -93.1063, -63.0396,  玉楼春勾栏瓦肆9
-1224.39, -119.157, -62.67,  玉楼春勾栏瓦肆11
-1229.42, -186.059, -62.5855,  玉楼春勾栏瓦肆8
-1278.99, -184.516, -62.613,  玉楼春勾栏瓦肆6
-1310.08, -180.711, -62.56,  玉楼春勾栏瓦肆7
-1310.14, -153.397, -62.67,  玉楼春勾栏瓦肆5
-1292.11, -8.96752, -64.0776,  玉楼春勾栏瓦肆12
-1185.16, 90.4886, -63.0206,  玉楼春南门大街15
-1177.85, 86.4381, -63.0222,  玉楼春南门大街14
-1169.25, 82.6276, -63.0172,  玉楼春南门大街13
-1123.46, 90.1414, -63.8162,  玉楼春南门大街12
-897.782, 12.0849, -59.7845,  玉楼春开封南郊5
-834.344, -122.198, -49.0468,  玉楼春开封南郊6
-930.954, -277.578, -42.7722,  枯茱萸
-914.287, -297.03, -36.6581,  枯茱萸
-864.651, -318.669, -28.3002,  枯茱萸
-845.974, -388.327, -14.2204,  枯茱萸
-825.963, -409.382, -15.0675,  枯茱萸
-791.388, -443.926, -18.3949,  枯茱萸
